,Men,Total,masculinity,year
0,2776.704087760387,3419,0.8121392476631726,1945
1,4399.516299645716,5301,0.8299408224194899,1946
2,4590.630396551848,5739,0.7999007486586249,1947
3,6659.475646388508,8104,0.8217516839077625,1948
4,8302.501038976048,10207,0.8134124658544184,1949
5,9667.455838529548,12235,0.7901475961201101,1950
6,9339.968460371783,11372,0.8213127383373007,1951
7,12788.617050804487,15623,0.818576269013921,1952
8,11948.389341773782,14637,0.8163140904402393,1953
9,12598.253108993176,15660,0.8044861499995642,1954
10,12927.03172423192,15973,0.809305185264629,1955
11,13513.684290315641,16474,0.8203037689884449,1956
12,11849.863062950235,14399,0.8229643074484503,1957
13,11687.38791812618,13901,0.8407587884415639,1958
14,10710.051712497974,12860,0.8328189512051302,1959
15,10912.456977850023,12604,0.8657931591439244,1960
16,10221.181389864778,12086,0.8457042354678783,1961
17,12735.350505448207,14833,0.8585822494066073,1962
18,14634.529703601538,16959,0.8629358867622818,1963
19,14632.446929001715,17061,0.8576547054100999,1964
20,15518.396226809271,17823,0.8706949574599827,1965
21,16539.16250583248,19148,0.863754047724696,1966
22,19507.954302817587,22474,0.8680232403140334,1967
23,20342.75016018978,23671,0.8593954695699285,1968
24,22172.308294463826,25608,0.8658352192464787,1969
25,24934.705357703497,28386,0.8784156047947402,1970
26,24503.621703501933,28332,0.8648744071545226,1971
27,22817.475906940348,26449,0.8626971116843869,1972
28,26843.2248962931,31358,0.856024775058776,1973
29,27113.263449088085,31040,0.8734943121484563,1974
30,27385.53702150114,32023,0.8551833688755313,1975
31,29947.818260344662,34887,0.8584234316606375,1976
32,33295.987700907244,39091,0.8517558440793851,1977
33,36282.181005585764,41769,0.8686389668315201,1978
34,36719.32827902515,42415,0.8657156260526971,1979
35,39990.4221585856,46467,0.860619841147171,1980
36,39390.99514524053,45781,0.8604223399497724,1981
37,43714.941604998894,51374,0.8509156695020612,1982
38,41372.013174685504,47925,0.8632657939423162,1983
39,42362.58146344815,49089,0.8629750343956518,1984
40,39868.07655956398,46218,0.8626092985322598,1985
41,45305.256221535295,52364,0.8651985375741978,1986
42,752.5590982121754,1050,0.7167229506782623,1987
43,728.3265833719078,995,0.7319865159516661,1988
44,535.8612575773249,695,0.7710233921975898,1989
45,790.9761870676897,1065,0.7427006451339809,1990
46,402.45279850033063,525,0.7665767590482488,1991
47,407.03837487554785,501,0.8124518460589777,1992
48,608.0334182823534,753,0.8074812991797522,1993
49,2368.414263558584,2755,0.859678498569359,1994
50,84719.61522131413,95970,0.8827718580943433,1995
51,86296.32784789703,99517,0.8671516208074704,1996
52,113334.3263245155,132591,0.8547663591383691,1997
53,95116.0953274575,111609,0.8522260330928285,1998
54,93885.29679247866,109961,0.8538054109409579,1999
55,112275.10753300358,133470,0.8412010753952467,2000
56,99132.44732303929,118104,0.8393657058443346,2001
57,94373.06655637542,111632,0.8453943901065591,2002
58,13607.47548457184,17345,0.7845186211918039,2003
59,15822.22752997248,20396,0.7757514968607806,2004
60,96127.86060125327,114058,0.8427980553863234,2005
61,97800.60716269107,115798,0.8445794155571864,2006
62,78342.29996061687,94762,0.8267269576477583,2007
63,76931.80001009378,93779,0.8203521045233344,2008
64,75212.09634686803,91754,0.8197146320255033,2009
65,88553.76163289543,108793,0.8139656194138909,2010
66,100770.84852063049,125438,0.8033518433060993,2011
67,116117.03375659222,141938,0.8180827809085109,2012
68,104621.15476501541,127754,0.8189266462499445,2013
69,91536.31285467147,110713,0.8267892014006618,2014
70,57701.647506950096,69732,0.8274773060711021,2015
71,88618.76297376095,107242,0.8263438109487043,2016
72,124688.16121123354,153241,0.8136736331088517,2017
73,116852.39773572932,142920,0.8176070370538016,2018
74,111206.01221536033,139367,0.7979364714413049,2019
75,107128.89671253586,135471,0.7907884101581583,2020
76,107055.0681106705,136238,0.7857944781240953,2021
77,172892.68838985113,225051,0.7682378144947195,2022
